,id,group.id,treatment,trial,conf.HA,conf.SA,sel.adv,sel.adv.gr,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,changed.gr,dominant.balls,majmin
47,3,1,Individuals in voting groups,7,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
48,3,1,Individuals in voting groups,8,1,2,1,1,2,1,0,0,0,0,0,0,50,majority
49,3,1,Individuals in voting groups,9,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
50,3,1,Individuals in voting groups,10,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
51,3,1,Individuals in voting groups,11,5,4,1,1,4,5,0,1,1,1,0,0,90,majority
52,3,1,Individuals in voting groups,12,2,1,1,1,1,2,0,0,0,0,1,0,50,majority
53,3,1,Individuals in voting groups,13,1,1,0,1,1,1,0,1,1,1,0,0,50,minority
54,3,1,Individuals in voting groups,14,3,4,0,1,4,3,0,1,1,1,0,0,90,minority
55,3,1,Individuals in voting groups,15,1,1,0,1,1,1,0,0,0,0,0,0,50,minority
56,3,1,Individuals in voting groups,16,5,5,0,1,5,5,0,1,1,1,0,0,90,minority
57,3,1,Individuals in voting groups,17,1,2,0,1,2,1,0,0,0,0,0,0,50,minority
58,3,1,Individuals in voting groups,18,1,1,0,1,1,1,0,1,1,1,0,0,50,minority
59,3,1,Individuals in voting groups,19,4,5,0,1,5,4,0,1,1,1,0,0,90,minority
60,3,1,Individuals in voting groups,20,1,2,0,1,2,1,0,1,1,1,NA,NA,50,minority
61,4,1,Individuals in voting groups,1,1,-3,1,0,1,-3,1,1,1,0,1,0,50,minority
62,4,1,Individuals in voting groups,2,2,-4,0,0,2,-4,1,0,0,1,1,1,50,majority
63,4,1,Individuals in voting groups,3,2,2,1,1,2,2,0,0,0,0,0,0,50,majority
64,4,1,Individuals in voting groups,4,1,1,1,1,1,1,0,0,0,0,0,1,50,majority
65,4,1,Individuals in voting groups,5,2,-2,1,0,2,-2,1,0,0,1,0,1,50,minority
66,4,1,Individuals in voting groups,6,4,5,1,1,5,4,0,1,1,1,0,0,90,majority
67,4,1,Individuals in voting groups,7,1,2,1,1,2,1,0,0,0,0,0,0,50,majority
68,4,1,Individuals in voting groups,8,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
69,4,1,Individuals in voting groups,9,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
70,4,1,Individuals in voting groups,10,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
71,4,1,Individuals in voting groups,11,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
72,4,1,Individuals in voting groups,12,2,1,1,1,1,2,0,0,0,0,0,0,50,majority
73,4,1,Individuals in voting groups,13,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
74,4,1,Individuals in voting groups,14,4,4,1,1,4,4,0,1,1,1,1,0,90,majority
75,4,1,Individuals in voting groups,15,2,1,0,1,1,2,0,0,0,0,1,0,50,minority
76,4,1,Individuals in voting groups,16,5,3,1,1,3,5,0,1,1,1,0,0,90,majority
77,4,1,Individuals in voting groups,17,2,1,1,1,1,2,0,0,0,0,0,0,50,majority
78,4,1,Individuals in voting groups,18,1,1,1,1,1,1,0,1,1,1,1,0,50,majority
79,4,1,Individuals in voting groups,19,5,5,0,1,5,5,0,1,1,1,1,0,90,minority
80,4,1,Individuals in voting groups,20,2,1,1,1,1,2,0,1,1,1,NA,NA,50,majority
81,5,1,Individuals in voting groups,1,1,-4,0,0,1,-4,1,1,1,0,0,0,50,majority
82,5,1,Individuals in voting groups,2,1,-3,0,0,1,-3,1,0,0,1,1,1,50,majority
83,5,1,Individuals in voting groups,3,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
84,5,1,Individuals in voting groups,4,1,1,1,1,1,1,0,0,0,0,1,1,50,majority
85,5,1,Individuals in voting groups,5,1,-3,0,0,1,-3,1,0,0,1,0,1,50,majority
86,5,1,Individuals in voting groups,6,4,5,0,1,5,4,0,1,1,1,1,0,90,minority
87,5,1,Individuals in voting groups,7,2,1,1,1,1,2,0,0,0,0,1,0,50,majority
88,5,1,Individuals in voting groups,8,2,1,0,1,1,2,0,0,0,0,0,0,50,minority
89,5,1,Individuals in voting groups,9,1,1,0,1,1,1,0,1,1,1,1,0,50,minority
90,5,1,Individuals in voting groups,10,2,2,1,1,2,2,0,1,1,1,0,0,50,majority
91,5,1,Individuals in voting groups,11,4,4,1,1,4,4,0,1,1,1,0,0,90,majority
92,5,1,Individuals in voting groups,12,1,1,1,1,1,1,0,0,0,0,1,0,50,majority
93,5,1,Individuals in voting groups,13,1,2,0,1,2,1,0,1,1,1,0,0,50,minority
94,5,1,Individuals in voting groups,14,4,3,0,1,3,4,0,1,1,1,1,0,90,minority
95,5,1,Individuals in voting groups,15,2,1,1,1,1,2,0,0,0,0,0,0,50,majority
96,5,1,Individuals in voting groups,16,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
97,5,1,Individuals in voting groups,17,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
98,5,1,Individuals in voting groups,18,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
99,5,1,Individuals in voting groups,19,4,5,1,1,5,4,0,1,1,1,0,0,90,majority
100,5,1,Individuals in voting groups,20,2,2,1,1,2,2,0,1,1,1,NA,NA,50,majority
101,6,2,Individuals in voting groups,1,1,1,1,1,1,1,0,1,1,1,0,1,50,majority
102,6,2,Individuals in voting groups,2,2,-4,1,0,2,-4,1,0,0,1,1,0,50,minority
103,6,2,Individuals in voting groups,3,3,3,0,0,3,3,0,0,0,0,1,1,90,majority
104,6,2,Individuals in voting groups,4,4,4,1,1,4,4,0,0,0,0,0,0,90,majority
105,6,2,Individuals in voting groups,5,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
106,6,2,Individuals in voting groups,6,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
107,6,2,Individuals in voting groups,7,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
108,6,2,Individuals in voting groups,8,1,1,1,1,1,1,0,0,0,0,1,0,50,majority
109,6,2,Individuals in voting groups,9,1,1,0,1,1,1,0,1,1,1,1,0,50,minority
110,6,2,Individuals in voting groups,10,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
111,6,2,Individuals in voting groups,11,1,1,1,1,1,1,0,0,0,0,1,1,50,majority
112,6,2,Individuals in voting groups,12,2,-4,0,0,2,-4,1,0,0,1,1,1,50,majority
113,6,2,Individuals in voting groups,13,1,2,1,1,2,1,0,0,0,0,0,0,50,majority
114,6,2,Individuals in voting groups,14,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
115,6,2,Individuals in voting groups,15,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
116,6,2,Individuals in voting groups,16,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
117,6,2,Individuals in voting groups,17,4,5,1,1,5,4,0,1,1,1,0,0,90,majority
118,6,2,Individuals in voting groups,18,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
119,6,2,Individuals in voting groups,19,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
120,6,2,Individuals in voting groups,20,4,4,1,1,4,4,0,1,1,1,NA,NA,90,majority
121,7,2,Individuals in voting groups,1,2,2,1,1,2,2,0,1,1,1,1,1,50,majority
122,7,2,Individuals in voting groups,2,2,-2,0,0,2,-2,1,0,0,1,1,0,50,majority
123,7,2,Individuals in voting groups,3,4,4,1,0,4,4,0,0,0,0,0,1,90,minority
124,7,2,Individuals in voting groups,4,5,4,1,1,4,5,0,0,0,0,0,0,90,majority
125,7,2,Individuals in voting groups,5,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
126,7,2,Individuals in voting groups,6,2,1,1,1,1,2,0,0,0,0,0,0,50,majority
127,7,2,Individuals in voting groups,7,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
128,7,2,Individuals in voting groups,8,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
129,7,2,Individuals in voting groups,9,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
130,7,2,Individuals in voting groups,10,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
131,7,2,Individuals in voting groups,11,1,1,1,1,1,1,0,0,0,0,0,1,50,majority
132,7,2,Individuals in voting groups,12,1,-3,1,0,1,-3,1,0,0,1,0,1,50,minority
133,7,2,Individuals in voting groups,13,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
134,7,2,Individuals in voting groups,14,2,2,1,1,2,2,0,1,1,1,0,0,50,majority
135,7,2,Individuals in voting groups,15,2,2,1,1,2,2,0,1,1,1,0,0,50,majority
136,7,2,Individuals in voting groups,16,4,5,1,1,5,4,0,1,1,1,0,0,90,majority
137,7,2,Individuals in voting groups,17,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
138,7,2,Individuals in voting groups,18,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
139,7,2,Individuals in voting groups,19,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
140,7,2,Individuals in voting groups,20,4,5,1,1,5,4,0,1,1,1,NA,NA,90,majority
141,8,2,Individuals in voting groups,1,2,1,1,1,1,2,0,1,1,1,1,1,50,majority
142,8,2,Individuals in voting groups,2,1,-2,0,0,1,-2,1,0,0,1,0,0,50,majority
143,8,2,Individuals in voting groups,3,4,5,0,0,4,5,0,0,0,0,1,1,90,majority
144,8,2,Individuals in voting groups,4,4,5,1,1,5,4,0,0,0,0,0,0,90,majority
145,8,2,Individuals in voting groups,5,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
146,8,2,Individuals in voting groups,6,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
147,8,2,Individuals in voting groups,7,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
148,8,2,Individuals in voting groups,8,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
149,8,2,Individuals in voting groups,9,2,2,1,1,2,2,0,1,1,1,0,0,50,majority
150,8,2,Individuals in voting groups,10,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
151,8,2,Individuals in voting groups,11,1,1,1,1,1,1,0,0,0,0,1,1,50,majority
152,8,2,Individuals in voting groups,12,1,-3,0,0,1,-3,1,0,0,1,0,1,50,majority
153,8,2,Individuals in voting groups,13,2,1,0,1,1,2,0,0,0,0,1,0,50,minority
154,8,2,Individuals in voting groups,14,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
155,8,2,Individuals in voting groups,15,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
156,8,2,Individuals in voting groups,16,3,4,1,1,4,3,0,1,1,1,0,0,90,majority
157,8,2,Individuals in voting groups,17,4,3,1,1,3,4,0,1,1,1,0,0,90,majority
158,8,2,Individuals in voting groups,18,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
159,8,2,Individuals in voting groups,19,2,2,1,1,2,2,0,1,1,1,0,0,50,majority
160,8,2,Individuals in voting groups,20,5,4,1,1,4,5,0,1,1,1,NA,NA,90,majority
161,9,2,Individuals in voting groups,1,1,1,0,1,1,1,0,1,1,1,0,1,50,minority
162,9,2,Individuals in voting groups,2,1,-3,0,0,1,-3,1,0,0,1,0,0,50,majority
163,9,2,Individuals in voting groups,3,5,5,0,0,5,5,0,0,0,0,0,1,90,majority
164,9,2,Individuals in voting groups,4,5,5,0,1,5,5,0,0,0,0,0,0,90,minority
165,9,2,Individuals in voting groups,5,2,2,0,1,2,2,0,1,1,1,0,0,50,minority
166,9,2,Individuals in voting groups,6,1,1,0,1,1,1,0,0,0,0,0,0,50,minority
167,9,2,Individuals in voting groups,7,1,1,0,1,1,1,0,1,1,1,1,0,50,minority
168,9,2,Individuals in voting groups,8,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
169,9,2,Individuals in voting groups,9,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
170,9,2,Individuals in voting groups,10,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
171,9,2,Individuals in voting groups,11,1,2,1,1,2,1,0,0,0,0,0,1,50,majority
172,9,2,Individuals in voting groups,12,1,-3,1,0,1,-3,1,0,0,1,0,1,50,minority
173,9,2,Individuals in voting groups,13,1,2,1,1,2,1,0,0,0,0,1,0,50,majority
174,9,2,Individuals in voting groups,14,1,1,0,1,1,1,0,1,1,1,1,0,50,minority
175,9,2,Individuals in voting groups,15,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
176,9,2,Individuals in voting groups,16,4,4,1,1,4,4,0,1,1,1,0,0,90,majority
177,9,2,Individuals in voting groups,17,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
178,9,2,Individuals in voting groups,18,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
179,9,2,Individuals in voting groups,19,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
180,9,2,Individuals in voting groups,20,4,5,1,1,5,4,0,1,1,1,NA,NA,90,majority
181,10,2,Individuals in voting groups,1,2,1,0,1,1,2,0,1,1,1,0,1,50,minority
182,10,2,Individuals in voting groups,2,1,-2,0,0,1,-2,1,0,0,1,1,0,50,majority
183,10,2,Individuals in voting groups,3,5,5,1,0,5,5,0,0,0,0,1,1,90,minority
184,10,2,Individuals in voting groups,4,5,4,0,1,4,5,0,0,0,0,0,0,90,minority
185,10,2,Individuals in voting groups,5,1,2,0,1,2,1,0,1,1,1,0,0,50,minority
186,10,2,Individuals in voting groups,6,1,2,0,1,2,1,0,0,0,0,0,0,50,minority
187,10,2,Individuals in voting groups,7,1,1,0,1,1,1,0,1,1,1,0,0,50,minority
188,10,2,Individuals in voting groups,8,1,2,0,1,2,1,0,0,0,0,0,0,50,minority
189,10,2,Individuals in voting groups,9,1,1,0,1,1,1,0,1,1,1,1,0,50,minority
190,10,2,Individuals in voting groups,10,2,2,1,1,2,2,0,1,1,1,0,0,50,majority
191,10,2,Individuals in voting groups,11,1,1,1,1,1,1,0,0,0,0,1,1,50,majority
192,10,2,Individuals in voting groups,12,1,-4,0,0,1,-4,1,0,0,1,0,1,50,majority
193,10,2,Individuals in voting groups,13,1,1,0,1,1,1,0,0,0,0,0,0,50,minority
194,10,2,Individuals in voting groups,14,2,1,0,1,1,2,0,1,1,1,0,0,50,minority
195,10,2,Individuals in voting groups,15,1,2,0,1,2,1,0,1,1,1,0,0,50,minority
196,10,2,Individuals in voting groups,16,5,5,0,1,5,5,0,1,1,1,0,0,90,minority
197,10,2,Individuals in voting groups,17,3,5,0,1,5,3,0,1,1,1,0,0,90,minority
198,10,2,Individuals in voting groups,18,1,1,0,1,1,1,0,1,1,1,0,0,50,minority
199,10,2,Individuals in voting groups,19,1,1,0,1,1,1,0,1,1,1,0,0,50,minority
200,10,2,Individuals in voting groups,20,4,4,0,1,4,4,0,1,1,1,NA,NA,90,minority
201,11,3,Individuals in voting groups,1,2,-2,0,0,2,-2,1,1,1,0,0,0,50,majority
202,11,3,Individuals in voting groups,2,1,-4,0,0,1,-4,1,0,0,1,1,1,50,majority
203,11,3,Individuals in voting groups,3,1,1,1,1,1,1,0,1,1,1,0,1,50,majority
204,11,3,Individuals in voting groups,4,1,-2,1,0,1,-2,1,0,0,1,0,1,50,minority
205,11,3,Individuals in voting groups,5,3,4,1,1,4,3,0,1,1,1,0,0,90,majority
206,11,3,Individuals in voting groups,6,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
207,11,3,Individuals in voting groups,7,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
208,11,3,Individuals in voting groups,8,4,4,1,1,4,4,0,1,1,1,0,0,90,majority
209,11,3,Individuals in voting groups,9,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
210,11,3,Individuals in voting groups,10,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
211,11,3,Individuals in voting groups,11,4,5,1,1,5,4,0,1,1,1,0,0,90,majority
212,11,3,Individuals in voting groups,12,4,4,1,1,4,4,0,1,1,1,0,0,90,majority
213,11,3,Individuals in voting groups,13,1,2,1,1,2,1,0,0,0,0,0,0,50,majority
214,11,3,Individuals in voting groups,14,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
215,11,3,Individuals in voting groups,15,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
216,11,3,Individuals in voting groups,16,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
217,11,3,Individuals in voting groups,17,2,2,1,1,2,2,0,0,0,0,0,0,50,majority
218,11,3,Individuals in voting groups,18,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
219,11,3,Individuals in voting groups,19,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
220,11,3,Individuals in voting groups,20,1,2,1,1,2,1,0,0,0,0,NA,NA,50,majority
221,12,3,Individuals in voting groups,1,1,-2,0,0,1,-2,1,1,1,0,0,0,50,majority
222,12,3,Individuals in voting groups,2,1,-3,0,0,1,-3,1,0,0,1,0,1,50,majority
223,12,3,Individuals in voting groups,3,1,2,0,1,2,1,0,1,1,1,0,1,50,minority
224,12,3,Individuals in voting groups,4,1,-4,0,0,1,-4,1,0,0,1,0,1,50,majority
225,12,3,Individuals in voting groups,5,5,5,0,1,5,5,0,1,1,1,0,0,90,minority
226,12,3,Individuals in voting groups,6,1,1,0,1,1,1,0,0,0,0,0,0,50,minority
227,12,3,Individuals in voting groups,7,2,1,0,1,1,2,0,1,1,1,0,0,50,minority
228,12,3,Individuals in voting groups,8,3,3,0,1,3,3,0,1,1,1,0,0,90,minority
229,12,3,Individuals in voting groups,9,1,1,0,1,1,1,0,1,1,1,0,0,50,minority
230,12,3,Individuals in voting groups,10,2,1,0,1,1,2,0,1,1,1,0,0,50,minority
231,12,3,Individuals in voting groups,11,3,4,0,1,4,3,0,1,1,1,0,0,90,minority
232,12,3,Individuals in voting groups,12,5,5,0,1,5,5,0,1,1,1,0,0,90,minority
233,12,3,Individuals in voting groups,13,2,1,0,1,1,2,0,0,0,0,0,0,50,minority
234,12,3,Individuals in voting groups,14,1,2,0,1,2,1,0,0,0,0,0,0,50,minority
235,12,3,Individuals in voting groups,15,1,1,0,1,1,1,0,0,0,0,0,0,50,minority
236,12,3,Individuals in voting groups,16,4,5,0,1,5,4,0,1,1,1,0,0,90,minority
237,12,3,Individuals in voting groups,17,1,2,0,1,2,1,0,0,0,0,0,0,50,minority
238,12,3,Individuals in voting groups,18,2,1,0,1,1,2,0,1,1,1,0,0,50,minority
239,12,3,Individuals in voting groups,19,1,1,0,1,1,1,0,1,1,1,0,0,50,minority
240,12,3,Individuals in voting groups,20,1,1,0,1,1,1,0,0,0,0,NA,NA,50,minority
241,13,3,Individuals in voting groups,1,2,-3,0,0,2,-3,1,1,1,0,1,0,50,majority
242,13,3,Individuals in voting groups,2,1,-2,1,0,1,-2,1,0,0,1,0,1,50,minority
243,13,3,Individuals in voting groups,3,1,1,1,1,1,1,0,1,1,1,1,1,50,majority
244,13,3,Individuals in voting groups,4,1,-4,0,0,1,-4,1,0,0,1,1,1,50,majority
245,13,3,Individuals in voting groups,5,5,4,1,1,4,5,0,1,1,1,0,0,90,majority
246,13,3,Individuals in voting groups,6,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
247,13,3,Individuals in voting groups,7,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
248,13,3,Individuals in voting groups,8,3,5,1,1,5,3,0,1,1,1,0,0,90,majority
249,13,3,Individuals in voting groups,9,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
250,13,3,Individuals in voting groups,10,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
251,13,3,Individuals in voting groups,11,3,4,1,1,4,3,0,1,1,1,1,0,90,majority
252,13,3,Individuals in voting groups,12,5,5,0,1,5,5,0,1,1,1,0,0,90,minority
253,13,3,Individuals in voting groups,13,2,2,0,1,2,2,0,0,0,0,1,0,50,minority
254,13,3,Individuals in voting groups,14,1,1,1,1,1,1,0,0,0,0,1,0,50,majority
255,13,3,Individuals in voting groups,15,2,1,0,1,1,2,0,0,0,0,1,0,50,minority
256,13,3,Individuals in voting groups,16,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
257,13,3,Individuals in voting groups,17,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
258,13,3,Individuals in voting groups,18,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
259,13,3,Individuals in voting groups,19,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
260,13,3,Individuals in voting groups,20,2,1,1,1,1,2,0,0,0,0,NA,NA,50,majority
261,14,3,Individuals in voting groups,1,1,-4,0,0,1,-4,1,1,1,0,0,0,50,majority
262,14,3,Individuals in voting groups,2,2,-2,0,0,2,-2,1,0,0,1,1,1,50,majority
263,14,3,Individuals in voting groups,3,1,1,1,1,1,1,0,1,1,1,0,1,50,majority
264,14,3,Individuals in voting groups,4,2,-4,1,0,2,-4,1,0,0,1,0,1,50,minority
265,14,3,Individuals in voting groups,5,3,3,1,1,3,3,0,1,1,1,0,0,90,majority
266,14,3,Individuals in voting groups,6,1,1,1,1,1,1,0,0,0,0,1,0,50,majority
267,14,3,Individuals in voting groups,7,2,1,0,1,1,2,0,1,1,1,1,0,50,minority
268,14,3,Individuals in voting groups,8,5,4,1,1,4,5,0,1,1,1,1,0,90,majority
269,14,3,Individuals in voting groups,9,1,1,0,1,1,1,0,1,1,1,1,0,50,minority
270,14,3,Individuals in voting groups,10,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
271,14,3,Individuals in voting groups,11,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
272,14,3,Individuals in voting groups,12,4,4,1,1,4,4,0,1,1,1,0,0,90,majority
273,14,3,Individuals in voting groups,13,2,2,1,1,2,2,0,0,0,0,0,0,50,majority
274,14,3,Individuals in voting groups,14,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
275,14,3,Individuals in voting groups,15,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
276,14,3,Individuals in voting groups,16,4,5,1,1,5,4,0,1,1,1,0,0,90,majority
277,14,3,Individuals in voting groups,17,1,2,1,1,2,1,0,0,0,0,0,0,50,majority
278,14,3,Individuals in voting groups,18,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
279,14,3,Individuals in voting groups,19,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
280,14,3,Individuals in voting groups,20,1,1,1,1,1,1,0,0,0,0,NA,NA,50,majority
281,15,3,Individuals in voting groups,1,1,-3,0,0,1,-3,1,1,1,0,0,0,50,majority
282,15,3,Individuals in voting groups,2,2,-4,0,0,2,-4,1,0,0,1,0,1,50,majority
283,15,3,Individuals in voting groups,3,1,1,0,1,1,1,0,1,1,1,0,1,50,minority
284,15,3,Individuals in voting groups,4,1,-4,0,0,1,-4,1,0,0,1,1,1,50,majority
285,15,3,Individuals in voting groups,5,5,4,1,1,4,5,0,1,1,1,0,0,90,majority
286,15,3,Individuals in voting groups,6,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
287,15,3,Individuals in voting groups,7,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
288,15,3,Individuals in voting groups,8,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
289,15,3,Individuals in voting groups,9,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
290,15,3,Individuals in voting groups,10,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
291,15,3,Individuals in voting groups,11,3,4,1,1,4,3,0,1,1,1,0,0,90,majority
